"run.profile","parameter","median","lower","upper","Rhat","ESS"
"cenozoic","brach.nsb_mean",-0.134545937786024,-0.574053938616669,0.299152605663375,0.99995871603741,24449.7863400033
"cenozoic","bivalve.nsb_mean",2.53496286033979,1.88703876057373,3.18196533858361,1.00019815949004,19795.737789737
"cenozoic","bulk.nsb_mean",1.36972690365201,0.86497614811978,1.87972959200738,1.00054951114939,17264.0085868727
"cenozoic","bf.nsb_tau",996893.136550897,938198.800924058,1059944.46404247,1.01143536344345,183.543170279759
"cenozoic","pf.nsb_tau",999956.918727409,934100.639684551,1069848.69162266,1.06818687845771,131.318272484958
"cenozoic","brach.nsb_tau",998355.848754782,941111.747608227,1058621.21034243,1.02513601780832,175.104035270043
"cenozoic","bivalve.nsb_tau",999658.666755764,938175.036916536,1066081.7694503,1.03668837402424,134.133000606928
"cenozoic","bulk.nsb_tau",1001258.85374377,938442.016099397,1065838.03695416,1.03643450182876,103.33912716611
"cenozoic","bf.archive_level",-9.29545550731447,-9.58562255255701,-9.06372513245219,1.15014882887133,71.7177446064285
"cenozoic","pf.archive_level",7.24061168890498,6.95503184667845,7.46996793139583,1.14972098468194,66.1624232853189
"cenozoic","brach.archive_level",6.56181048808674,6.22988219806827,6.86039844705683,1.09120012159743,126.312449959757
